episodenbr,role,name
601,The Doctor,Peter Davison
601,Tegan,Janet Fielding
601,The Master,Anthony Ainley
601,Ranulf,Frank Windsor
601,The King,Gerald Flood
601,Isabella,Isla Blair
601,Hugh,Christopher Villiers
601,Sir Geoffrey,Michael J Jackson
601,Jester,Peter Burroughs
601,Voice of Kamelion,Gerald Flood (uncredited)
601,Kamelion,Janet Fielding (uncredited)
601,Kamelion,Peter Davison (uncredited)
601,Kamelion,Anthony Ainley (uncredited)
601,Lute Player,Jakob Lindberg (Radio Times)
601,Kamelion Operator,Chris Padmore (uncredited)
601,Stunt Man,John Waller (uncredited)
601,Stunt Man,Brian Bowes (uncredited)
601,Gaoler,Tony Annis (uncredited)
601,Ranulf's Knight,David Cole (uncredited)
601,(extra),Tony Annis (uncredited)
601,(extra),David Ballard (uncredited)
601,(extra),Terence Brook (uncredited)
601,(extra),Russell Brook (uncredited)
601,(extra),Daryl Brook (uncredited)
601,(extra),John Cannon (uncredited)
601,(extra),Peter Duke (uncredited)
601,(extra),Adrian Fenwick (uncredited)
601,(extra),Colin Forsyth (uncredited)
601,(extra),Jill Godston (uncredited)
601,(extra),Stephen Gressleux (uncredited)
601,(extra),Carley Hawkins (uncredited)
601,(extra),Jerry Judge (uncredited)
601,(extra),Michael Leader (uncredited)
601,(extra),Paul Lowther (uncredited)
601,(extra),Martin Lyder (uncredited)
601,(extra),Mick McKenny (uncredited)
601,(extra),Mary Morse-Boycott (uncredited)
601,(extra),Mike Mungarvan (uncredited)
601,(extra),Kevin O'Brien (uncredited)
601,(extra),Eliza Paul (uncredited)
601,(extra),Malcolm Ross (uncredited)
601,(extra),David J Ross (uncredited)
601,(extra),Miles Ross (uncredited)
601,(extra),Adam Ross (uncredited)
601,(extra),Paul Ryan (uncredited)
601,(extra),Graham Stagg (uncredited)
601,(extra),Trevor Steedman (uncredited)
601,(extra),Gwynne Sullivan (uncredited)
601,(extra),Bob Tarff (uncredited)
601,(extra),Terry Wallis (uncredited)
601,(extra),Lloyd Williams (uncredited)
602,The Doctor,Peter Davison
602,The Doctor,Jon Pertwee
602,The Doctor,Patrick Troughton
602,The Doctor,Richard Hurndall
602,The Doctor,Tom Baker
602,The Doctor,William Hartnell
602,Tegan,Janet Fielding
602,Turlough,Mark Strickson
602,Sarah Jane Smith,Elisabeth Sladen
602,Susan Foreman,Carole Ann Ford
602,Brigadier Lethbridge-Stewart,Nicholas Courtney
602,Romana,Lalla Ward
602,The Master,Anthony Ainley
602,Cardinal Borusa,Philip Latham
602,Chancellor Flavia,Dinah Sheridan
602,The Castellan,Paul Jerricho
602,Cyber Leader,David Banks
602,Cyber Lieutenant,Mark Hardy
602,Rassilon,Richard Mathews
602,Jamie,Frazer Hines
602,Zoe,Wendy Padbury
602,Liz Shaw,Caroline John
602,Mike Yates,Richard Franklin
602,Crichton,David Savile
602,Voice of K-9,John Leeson
602,Dalek Voice,Roy Skelton
602,Dalek Operator,John Scott Martin
602,Commander,Stuart Blake
602,Technician,Stephen Meredith
602,Sergeant,Ray Float
602,Guard,John Tallents
602,Cyber Scout,William Kenton
602,Raston Robot,Keith Hodiak
602,Cyberman,Graham Cole (uncredited)
602,Guard,Norman Bradley (uncredited)
602,Stunt Man,Stuart Fell (uncredited)
602,(extra),Lloyd Williams (uncredited)
602,(extra),Johnnie Mack (uncredited)
602,(extra),Frederick Wolfe (uncredited)
602,(extra),Charles Milward (uncredited)
602,(extra),Graham Cole (uncredited)
602,(extra),Alan Riches (uncredited)
602,(extra),Ian Marshall-Fisher (uncredited)
602,(extra),Mark Bassenger (uncredited)
602,Yeti,Lee Woods (uncredited)
602,(extra),Richard Naylor (uncredited)
602,(extra),Mark Whinsup (uncredited)
602,(extra),Gilbert Gillen (uncredited)
602,(extra),Emyr Morris-Jones (uncredited)
603,The Doctor,Peter Davison
603,Tegan,Janet Fielding
603,Turlough,Mark Strickson
603,Vorshak,Tom Adams
603,Solow,Ingrid Pitt
603,Nilson,Ian McCulloch
603,Maddox,Martin Neil
603,Preston,Tara Ward
603,Icthar,Norman Comer
603,Karina,Nitza Saul
603,Scibus,Stuart Blake
603,Tarpok,Vincent Brimble
603,Sauvix,Christopher Farries
603,Paroli,James Coombes
603,Stunt Double for The Doctor,Gareth Milne (uncredited)
603,Marine/Guard,Julian Hudson (uncredited)
603,Marine/Guard,Barney Lawrence (uncredited)
603,Marine/Guard,Peter Caton (uncredited)
603,Marine/Guard,Dana Miche (uncredited)
603,Marine/Guard,Julian Larousse (uncredited)
603,Marine/Guard,Rose Pridmore (uncredited)
603,Marine/Guard,Dorothy Ottey (uncredited)
603,Marine/Guard,Ridgewell Hawkes (uncredited)
603,Marine/Guard,Trevor Steedman (uncredited)
603,Sea Base Personnel,Joanna Garcia (uncredited)
603,Sea Base Personnel,Ling Tai (uncredited)
603,Sea Base Personnel,Joycea Goborn (uncredited)
603,Sea Base Personnel,Arnold Lee (uncredited)
603,Sea Base Personnel,Russell Brook (uncredited)
