episodenbr,episode_name,weekday,broadcastdate,broadcasthour,duration,views,share,AI,chart,story_name,doctor_id,doctor_name,cast_count
1,An Unearthly Child,Sat,23-Nov-63,5:16pm,00:23:10,4.40m,,63,114,An Unearthly Child,1,William Hartnell,13
2,An Unearthly Child: The Cave of Skulls,Sat,30-Nov-63,5:29pm,00:24:37,5.90m,,59,85,An Unearthly Child,1,William Hartnell,28
3,An Unearthly Child: The Forest of Fear,Sat,07-Dec-63,5:15pm,00:23:38,6.90m,,56,61,An Unearthly Child,1,William Hartnell,27
4,An Unearthly Child: The Firemaker,Sat,14-Dec-63,5:15pm,00:24:23,6.40m,,55,70,An Unearthly Child,1,William Hartnell,28
5,The Daleks: The Dead Planet,Sat,21-Dec-63,5:15pm,00:24:22,6.90m,,59,67,The Daleks,1,William Hartnell,6
6,The Daleks: The Survivors,Sat,28-Dec-63,5:15pm,00:24:27,6.40m,,58,78,The Daleks,1,William Hartnell,11
7,The Daleks: The Escape,Sat,04-Jan-64,5:15pm,00:25:10,8.90m,,62,45,The Daleks,1,William Hartnell,25
8,The Daleks: The Ambush,Sat,11-Jan-64,5:14pm,00:24:37,9.90m,,63,29,The Daleks,1,William Hartnell,24
9,The Daleks: The Expedition,Sat,18-Jan-64,5:15pm,00:24:31,9.90m,,63,27,The Daleks,1,William Hartnell,24
10,The Daleks: The Ordeal,Sat,25-Jan-64,5:15pm,00:26:14,10.40m,,63,29,The Daleks,1,William Hartnell,17
11,The Daleks: The Rescue,Sat,01-Feb-64,5:17pm,00:22:24,10.40m,,65,25,The Daleks,1,William Hartnell,24
12,The Edge of Destruction,Sat,08-Feb-64,5:15pm,00:25:04,10.40m,,61,21,The Edge of Destruction,1,William Hartnell,4
13,The Edge of Destruction: The Brink of Disaster,Sat,15-Feb-64,5:16pm,00:22:11,9.90m,,60,31,The Edge of Destruction,1,William Hartnell,4
14,Marco Polo: The Roof of the World,Sat,22-Feb-64,5:15pm,00:24:12,9.40m,,63,33,Marco Polo,1,William Hartnell,14
15,Marco Polo: The Singing Sands,Sat,29-Feb-64,5:15pm,00:26:34,9.40m,,62,33,Marco Polo,1,William Hartnell,10
16,Marco Polo: Five Hundred Eyes,Sat,07-Mar-64,5:16pm,00:22:20,9.40m,,62,34,Marco Polo,1,William Hartnell,21
17,Marco Polo: The Wall of Lies,Sat,14-Mar-64,5:15pm,00:24:48,9.90m,,60,31,Marco Polo,1,William Hartnell,16
18,Marco Polo: Rider From Shang-Tu,Sat,21-Mar-64,5:16pm,00:23:26,9.40m,,59,37,Marco Polo,1,William Hartnell,22
19,Marco Polo: Mighty Kublai Khan,Sat,28-Mar-64,5:29pm,00:25:36,8.40m,,59,49,Marco Polo,1,William Hartnell,37
20,Marco Polo: Assassin at Peking,Sat,04-Apr-64,5:30pm,00:24:48,10.40m,,59,22,Marco Polo,1,William Hartnell,32
21,The Keys of Marinus: The Sea of Death,Sat,11-Apr-64,5:31pm,00:23:20,9.90m,,62,22,The Keys Of Marinus,1,William Hartnell,9
22,The Keys of Marinus: The Velvet Web,Sat,18-Apr-64,5:31pm,00:25:37,9.40m,,60,25,The Keys Of Marinus,1,William Hartnell,12
