episodenbr,title,weekday,broadcastdate,broadcasthour,duration,views,share,AI,chart,summary
601,The King's Demons: Part Two,Wed,16 Mar 1983,6:47pm,00:24:27,7.20m,,63.0,66,The Master and the Doctor fight for control over Kamelion's mind. Meanwhile Turlough and Tegan make allies in the castle in an attempt to avoid the iron maiden.
602,The Five Doctors,Fri,25 Nov 1983,7:20pm,01:30:23,7.70m,,75.0,54,
603,Warriors of the Deep: Part One,Thu,5 Jan 1984,6:41pm,00:24:48,7.60m,,65.0,51,"Seabase 4 is on alert as a strange craft approaches. But the crew has been infiltrated by the enemy, so Commander Vorshak's solutions are scuppered at every turn."
604,Warriors of the Deep: Part Two,Fri,6 Jan 1984,6:41pm,00:24:04,7.50m,,64.0,52,"The Silurians and Sea Devils send in the Myrka to spearhead their invasion of the Seabase. Meanwhile, Nilson and Doctor Solow work to bring the entire Bloc down"
605,Warriors of the Deep: Part Three,Thu,12 Jan 1984,6:41pm,00:24:02,7.30m,,62.0,74,"As Vorshak's crew are cut down by Sauvix's Sea Devil Warriors, the Doctor is running out of ways to broker a peace between the opposing species."
606,Warriors of the Deep: Part Four,Fri,13 Jan 1984,6:40pm,00:24:48,6.60m,,65.0,87,Lethal hexachromite gas is used against the reptilian threat. World war is avoided but many lives are lost and the Doctor reflects there should have been another way.
607,The Awakening: Part One,Thu,19 Jan 1984,6:41pm,00:25:18,7.90m,,65.0,61,"Teacher Jane Hampden is increasingly frustrated by the war games being played around the village, but the Doctor is more alarmed to find a boy transported from the 17th century"
608,The Awakening: Part Two,Fri,20 Jan 1984,6:41pm,00:24:47,6.60m,,63.0,84,"The Malus's influence is asserting itself all over the village and the games take a deadly turn. The Doctor and his friends rush back to the TARDIS, but what will they find within?"
609,Frontios: Part One,Thu,26 Jan 1984,6:41pm,00:24:39,8.00m,,66.0,58,"Captain Revere is the latest victim to be sucked beneath the surface of Frontios, leaving the young Plantagenet to run the colony. The TARDIS has also been 'destroyed'."
610,Frontios: Part Two,Fri,27 Jan 1984,6:41pm,00:24:35,5.80m,,69.0,115,"Trying to discover why Frontios is being attacked from both above and below, the Doctor faces the malevolent Tractators while revolution brews in the colony"
611,Frontios: Part Three,Thu,2 Feb 1984,6:40pm,00:24:30,7.80m,,65.0,59,Turlough's race memories of the Frontios threaten to overwhelm him as the Doctor finally convinces Brazen that the threat from underground is very real
612,Frontios: Part Four,Fri,3 Feb 1984,6:41pm,00:24:26,5.60m,,65.0,112,The Doctor manipulates the Gravis into restoring the TARDIS. But he must find a way to break the Tractators' hold over Frontios before they wipe out all life on the surface.
