entered May 27, 2016 at 07:47AM 
exited May 27, 2016 at 04:13PM 
entered May 31, 2016 at 07:37AM 
exited May 31, 2016 at 04:16PM 
entered June 01, 2016 at 07:42AM 
exited June 01, 2016 at 04:16PM 
entered June 02, 2016 at 07:47AM 
exited June 02, 2016 at 04:10PM 
entered June 03, 2016 at 07:47AM 
exited June 03, 2016 at 05:07PM 
entered June 13, 2016 at 07:44AM 
exited June 13, 2016 at 04:26PM 
entered June 14, 2016 at 07:54AM 
exited June 14, 2016 at 04:03PM 
entered June 15, 2016 at 07:43AM 
exited June 15, 2016 at 04:24PM 
entered June 16, 2016 at 07:47AM 
entered June 16, 2016 at 07:53AM 
exited June 16, 2016 at 04:05PM 
entered June 17, 2016 at 07:48AM 
exited June 17, 2016 at 01:35PM 
entered June 27, 2016 at 08:02AM 
exited June 27, 2016 at 03:59PM 
entered June 28, 2016 at 07:54AM 
exited June 28, 2016 at 03:55PM 
entered June 29, 2016 at 08:01AM 
exited June 29, 2016 at 04:01PM 
entered June 30, 2016 at 07:49AM 
exited June 30, 2016 at 04:08PM 
entered July 01, 2016 at 07:53AM 
exited July 01, 2016 at 04:04PM 
entered July 04, 2016 at 07:54AM 
exited July 04, 2016 at 04:00PM 
entered July 05, 2016 at 07:53AM 
exited July 05, 2016 at 04:04PM 
entered July 06, 2016 at 07:43AM 
exited July 06, 2016 at 04:00PM 
entered July 07, 2016 at 07:27AM 
exited July 07, 2016 at 01:21PM 
entered July 08, 2016 at 07:45AM 
exited July 08, 2016 at 04:18PM 
entered July 18, 2016 at 07:44AM 
exited July 18, 2016 at 04:03PM 
entered July 19, 2016 at 07:39AM 
exited July 19, 2016 at 04:12PM 
entered July 20, 2016 at 07:43AM 
exited July 20, 2016 at 03:52PM 
entered July 21, 2016 at 07:43AM 
exited July 21, 2016 at 03:04PM 
entered July 22, 2016 at 07:40AM 
exited July 22, 2016 at 04:15PM 
entered July 25, 2016 at 07:39AM 
exited July 25, 2016 at 04:15PM 
entered July 26, 2016 at 07:47AM 
exited July 26, 2016 at 04:15PM 
entered July 28, 2016 at 07:56AM 
exited July 28, 2016 at 04:09PM 
entered July 29, 2016 at 07:54AM 
exited July 29, 2016 at 04:48PM 
entered August 01, 2016 at 07:47AM 
exited August 01, 2016 at 04:14PM 
entered August 02, 2016 at 07:48AM 
exited August 02, 2016 at 04:08PM 
entered August 03, 2016 at 07:43AM 
exited August 03, 2016 at 03:03PM 
entered August 04, 2016 at 07:44AM 
exited August 04, 2016 at 04:20PM 
entered August 05, 2016 at 07:40AM 
exited August 05, 2016 at 03:56PM 
entered August 08, 2016 at 07:40AM 
exited August 08, 2016 at 04:01PM 
entered August 09, 2016 at 07:43AM 
exited August 09, 2016 at 04:49PM 
entered August 10, 2016 at 07:47AM 
exited August 10, 2016 at 04:00PM 
entered August 11, 2016 at 07:50AM 
exited August 11, 2016 at 03:56PM 
entered August 12, 2016 at 07:55AM 
exited August 12, 2016 at 03:43PM 
entered August 15, 2016 at 08:01AM 
exited August 15, 2016 at 03:40PM 
entered August 16, 2016 at 07:45AM 
exited August 16, 2016 at 04:22PM 
entered August 17, 2016 at 07:55AM 
exited August 17, 2016 at 04:06PM 
entered August 18, 2016 at 07:38AM 
exited August 18, 2016 at 04:43PM 
entered August 19, 2016 at 07:46AM 
exited August 19, 2016 at 04:07PM 
entered August 22, 2016 at 07:50AM 
exited August 22, 2016 at 04:11PM 
entered August 23, 2016 at 07:46AM 
exited August 23, 2016 at 04:28PM 
entered August 24, 2016 at 07:36AM 
exited August 24, 2016 at 05:25PM 
entered August 25, 2016 at 07:42AM 
exited August 25, 2016 at 04:04PM 
entered August 26, 2016 at 07:34AM 
exited August 26, 2016 at 03:02PM 
entered August 30, 2016 at 07:47AM 
exited August 30, 2016 at 04:00PM 
entered August 31, 2016 at 07:46AM 
exited August 31, 2016 at 04:11PM 
entered September 01, 2016 at 07:39AM 
exited September 01, 2016 at 04:42PM 
entered September 02, 2016 at 07:41AM 
exited September 02, 2016 at 04:21PM 
entered September 05, 2016 at 07:53AM 
exited September 05, 2016 at 04:04PM 
entered September 06, 2016 at 07:53AM 
exited September 06, 2016 at 05:06PM 
entered September 07, 2016 at 07:56AM 
exited September 07, 2016 at 04:22PM 
entered September 08, 2016 at 07:49AM 
exited September 08, 2016 at 04:52PM 
entered September 09, 2016 at 07:39AM 
exited September 09, 2016 at 04:13PM 
entered September 12, 2016 at 07:45AM 
exited September 12, 2016 at 03:36PM 
entered September 13, 2016 at 07:45AM 
exited September 13, 2016 at 03:55PM 
entered September 14, 2016 at 07:47AM 
exited September 14, 2016 at 03:52PM 
entered September 15, 2016 at 07:45AM 
exited September 15, 2016 at 03:53PM 
entered September 16, 2016 at 07:45AM 
exited September 16, 2016 at 03:27PM 
entered September 19, 2016 at 07:45AM 
exited September 19, 2016 at 04:31PM 
entered September 20, 2016 at 07:44AM 
exited September 20, 2016 at 03:29PM 
